strategy,reqId,gold_scope,llm_scope,match_scope,gold_condition,llm_condition,match_condition,gold_actor,llm_actor,match_actor,gold_modalVerb,llm_modalVerb,match_modalVerb,gold_action,llm_action,match_action,gold_overall_incomplete,llm_overall_incomplete,verdict_match,n_humans,seq_ratio_mean,seq_ratio_max,jaccard_mean,paska_passed
cot,4031-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6581,0.7712,0.3653,1
cot,4333-Signal,missing,filled,0,missing,filled,0,missing,filled,0,missing,filled,0,missing,filled,0,1,0,0,2,0.3564,0.7128,0.2059,1
cot,455-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5228,0.6016,0.3144,1
cot,5529-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4476,0.5366,0.2052,1
cot,107-Mastodon,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5033,0.5210,0.2702,1
cot,83-Signal,implied,filled,1,missing,filled,0,missing,missing,1,missing,missing,1,missing,missing,1,1,1,1,3,0.0089,0.0267,0.6667,0
cot,5555-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6489,0.6719,0.4127,1
cot,801-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5180,0.6575,0.2898,1
cot,6069-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5238,0.5616,0.2978,1
cot,2943-Signal,implied,filled,1,missing,filled,0,implied,missing,0,implied,missing,0,implied,missing,0,0,1,0,3,0.0326,0.0667,0.0000,0
cot,6077-Signal,implied,filled,1,present,filled,1,present,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.3751,0.4607,0.2092,1
cot,1363-Signal,implied,filled,1,missing,filled,0,implied,missing,0,implied,missing,0,present,filled,1,0,1,0,3,0.6858,0.7500,0.5087,0
cot,6459-Signal,implied,filled,1,present,filled,1,present,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4244,0.4907,0.2678,1
cot,6457-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6828,0.8182,0.4579,0
cot,828-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.3295,0.5270,0.1618,1
cot,245-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.2530,0.4316,0.1967,1
cot,316-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4218,0.4862,0.3288,0
cot,695-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.3490,0.6178,0.2473,1
cot,1761-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5389,0.5506,0.4234,1
cot,4245-Signal,implied,filled,1,implied,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.2826,0.4663,0.2603,1
cot,5775-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5714,0.7065,0.3578,1
cot,1504-Signal,implied,missing,0,missing,missing,1,implied,missing,0,implied,missing,0,missing,missing,1,1,1,1,3,0.0222,0.0667,0.3333,0
cot,8-Mastodon,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6941,0.7347,0.3922,1
cot,592-Signal,implied,filled,1,missing,filled,0,implied,missing,0,implied,missing,0,missing,filled,0,1,1,1,3,0.2217,0.3860,0.0000,0
cot,6031-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5633,0.7440,0.3625,1
cot,496-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,missing,filled,0,1,0,0,3,0.1133,0.3400,0.0208,1
cot,4230-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5508,0.6194,0.2799,1
cot,757-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.7403,0.7899,0.4833,1
cot,1283-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,missing,0,implied,filled,1,0,1,0,3,0.4965,0.6281,0.2322,0
cot,7310-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5198,0.6034,0.2711,0
