reqId,requirementId,phase,order,pragyanIncomp,nlDescription,nlText,gold_scope,gold_condition,gold_actor,gold_modalVerb,gold_action,gold_conditionType,gold_overallIncomplete,gold_hadDisagreement,canonicalRimay,annotatorId,annotatorUsername,annotatorDisplayName,annotationStatus,rimayText,slot_scope,slot_condition,slot_actor,slot_modalVerb,slot_action,conditionType,patternNumber,nonAtomic,nSystemResponses,overallIncomplete,notes
72-Signal,6a3ac953be1bfa9e45d33106,pilot,0,0,I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!,Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!,implied,missing,implied,implied,present,none,false,false,"For all users, <MISSING_CONDITION> the App must show a preview of the message in the notificaiton bar. ",6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"<MISSING_CONDITION> For all users, the system must provide a preview of the message in notification bar. ",implied,missing,implied,implied,present,none,,false,,false,
72-Signal,6a3ac953be1bfa9e45d33106,pilot,0,0,I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!,Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!,implied,missing,implied,implied,present,none,false,false,"For all users, <MISSING_CONDITION> the App must show a preview of the message in the notificaiton bar. ",6a29b95073ef37cc79137842,Mko,Mko,submitted,"For all users the App must show a ""preview of the message"" in the ""notification bar""",implied,missing,implied,implied,present,none,,false,,false,
72-Signal,6a3ac953be1bfa9e45d33106,pilot,0,0,I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!,Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!,implied,missing,implied,implied,present,none,false,false,"For all users, <MISSING_CONDITION> the App must show a preview of the message in the notificaiton bar. ",6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"The App must display a ""preview of the message"" in the ""notification bar"".<MISSING_CONDITION>",implied,missing,implied,implied,present,none,,false,,false,
72-Signal,6a3ac953be1bfa9e45d33106,pilot,0,0,I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!,Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!,implied,missing,implied,implied,present,none,false,false,"For all users, <MISSING_CONDITION> the App must show a preview of the message in the notificaiton bar. ",6a1e11f9d2573aff6b6c4b96,admin,Admin User,submitted,"For all users, <MISSING_CONDITION> the app must show a preview of the message in the notificaiton bar.  ",implied,missing,implied,implied,present,none,,false,,false,
36-Mastodon,6a3ac954be1bfa9e45d33139,pilot,17,1,"For example, Fedilab shows which service the profile is for, i.e. whether it is a Mastodon, Pixelfed, PeerTube, etc. account. Something similar for the official Mastodon app would be desirable, as it shows newcomers that theFediverse is more than just Mastodon.","Request Number - 36 | Request Title - Feature request: Fediverse service label | Request Description - For example, Fedilab shows which service the profile is for, i.e. whether it is a Mastodon, Pixelfed, PeerTube, etc. account. Something similar for the official Mastodon app would be desirable, as it shows newcomers that theFediverse is more than just Mastodon.",implied,missing,present,implied,present,none,false,true,"For all users, <MISSING_CONDITION> Mastodon app must display the ""service type"" for each profile",6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"<MISSING_CONDITION> For all users, the official Mastodon app must provide which service the profile is for.  ",implied,missing,present,implied,present,none,,false,,false,
36-Mastodon,6a3ac954be1bfa9e45d33139,pilot,17,1,"For example, Fedilab shows which service the profile is for, i.e. whether it is a Mastodon, Pixelfed, PeerTube, etc. account. Something similar for the official Mastodon app would be desirable, as it shows newcomers that theFediverse is more than just Mastodon.","Request Number - 36 | Request Title - Feature request: Fediverse service label | Request Description - For example, Fedilab shows which service the profile is for, i.e. whether it is a Mastodon, Pixelfed, PeerTube, etc. account. Something similar for the official Mastodon app would be desirable, as it shows newcomers that theFediverse is more than just Mastodon.",implied,missing,present,implied,present,none,false,true,"For all users, <MISSING_CONDITION> Mastodon app must display the ""service type"" for each profile",6a29b95073ef37cc79137842,Mko,Mko,submitted,"For all the users the Mastodon app must display the ""service type"" of each profile",implied,missing,present,implied,present,none,,false,,false,
36-Mastodon,6a3ac954be1bfa9e45d33139,pilot,17,1,"For example, Fedilab shows which service the profile is for, i.e. whether it is a Mastodon, Pixelfed, PeerTube, etc. account. Something similar for the official Mastodon app would be desirable, as it shows newcomers that theFediverse is more than just Mastodon.","Request Number - 36 | Request Title - Feature request: Fediverse service label | Request Description - For example, Fedilab shows which service the profile is for, i.e. whether it is a Mastodon, Pixelfed, PeerTube, etc. account. Something similar for the official Mastodon app would be desirable, as it shows newcomers that theFediverse is more than just Mastodon.",implied,missing,present,implied,present,none,false,true,"For all users, <MISSING_CONDITION> Mastodon app must display the ""service type"" for each profile",6a29b95073ef37cc79137841,Arthur,Arthur,submitted,The App must show the service type of the profile.<MISSING_CONDITION>,present,missing,present,implied,present,none,,false,,false,
36-Mastodon,6a3ac954be1bfa9e45d33139,pilot,17,1,"For example, Fedilab shows which service the profile is for, i.e. whether it is a Mastodon, Pixelfed, PeerTube, etc. account. Something similar for the official Mastodon app would be desirable, as it shows newcomers that theFediverse is more than just Mastodon.","Request Number - 36 | Request Title - Feature request: Fediverse service label | Request Description - For example, Fedilab shows which service the profile is for, i.e. whether it is a Mastodon, Pixelfed, PeerTube, etc. account. Something similar for the official Mastodon app would be desirable, as it shows newcomers that theFediverse is more than just Mastodon.",implied,missing,present,implied,present,none,false,true,"For all users, <MISSING_CONDITION> Mastodon app must display the ""service type"" for each profile",6a1e11f9d2573aff6b6c4b96,admin,Admin User,submitted,"For all users, <MISSING_CONDITION> the app must show which service the profile is for. ",implied,missing,implied,implied,present,none,,false,,false,
152-Mastodon,6a3ac954be1bfa9e45d3313c,pilot,18,0,"I'm using the Mastodon app with my profile on mstdn.social which supports Markdown toots. Unfortunately, the Mastodon app isn't able to display MD lists correctly. Instead of putting each list item into a new line, it shrinks the complete list into a single line:  For comparison: Tusky is perfectly capable of at least inserting line breaks:","Request Number - 152 | Request Title - Display MD lists correctly | Request Description - I'm using the Mastodon app with my profile on mstdn.social which supports Markdown toots. Unfortunately, the Mastodon app isn't able to display MD lists correctly. Instead of putting each list item into a new line, it shrinks the complete list into a single line:  For comparison: Tusky is perfectly capable of at least inserting line breaks:",implied,missing,present,implied,present,none,false,true,"For all users, <MISSING_CONDITION> Mastodon app must dispay ""MD"" lists correctly",6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"<MISSING_CONDITION> For all users, the Mastodon app must be able to display Markdown lists correctly. ",implied,missing,present,implied,implied,none,,false,,false,
152-Mastodon,6a3ac954be1bfa9e45d3313c,pilot,18,0,"I'm using the Mastodon app with my profile on mstdn.social which supports Markdown toots. Unfortunately, the Mastodon app isn't able to display MD lists correctly. Instead of putting each list item into a new line, it shrinks the complete list into a single line:  For comparison: Tusky is perfectly capable of at least inserting line breaks:","Request Number - 152 | Request Title - Display MD lists correctly | Request Description - I'm using the Mastodon app with my profile on mstdn.social which supports Markdown toots. Unfortunately, the Mastodon app isn't able to display MD lists correctly. Instead of putting each list item into a new line, it shrinks the complete list into a single line:  For comparison: Tusky is perfectly capable of at least inserting line breaks:",implied,missing,present,implied,present,none,false,true,"For all users, <MISSING_CONDITION> Mastodon app must dispay ""MD"" lists correctly",6a29b95073ef37cc79137842,Mko,Mko,submitted,"For all the users the Mastodon app must display ""Markdown lists"" correctly",implied,missing,present,implied,present,none,,false,,false,
