strategy,reqId,gold_scope,llm_scope,match_scope,gold_condition,llm_condition,match_condition,gold_actor,llm_actor,match_actor,gold_modalVerb,llm_modalVerb,match_modalVerb,gold_action,llm_action,match_action,gold_overall_incomplete,llm_overall_incomplete,verdict_match,n_humans,seq_ratio_mean,seq_ratio_max,jaccard_mean,paska_passed
fsl,4031-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.8698,1.0000,0.7292,1
fsl,4333-Signal,missing,filled,0,missing,filled,0,missing,filled,0,missing,filled,0,missing,filled,0,1,0,0,2,0.2646,0.5292,0.1731,1
fsl,455-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.7633,0.8603,0.5693,1
fsl,5529-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6421,0.6630,0.4673,1
fsl,107-Mastodon,implied,filled,1,missing,missing,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6877,0.7206,0.4681,1
fsl,83-Signal,implied,missing,0,missing,missing,1,missing,missing,1,missing,missing,1,missing,filled,0,1,1,1,3,0.1284,0.3853,0.0833,0
fsl,5555-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.8816,1.0000,0.7963,1
fsl,801-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4341,0.4961,0.4293,1
fsl,6069-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.7493,0.8123,0.5043,1
fsl,2943-Signal,implied,filled,1,missing,missing,1,implied,filled,1,implied,filled,1,implied,filled,1,0,0,1,3,0.7627,0.8837,0.6739,1
fsl,6077-Signal,implied,missing,0,present,filled,1,present,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5538,0.6466,0.3618,1
fsl,1363-Signal,implied,filled,1,missing,missing,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.8523,0.9689,0.8238,1
fsl,6459-Signal,implied,filled,1,present,filled,1,present,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6702,0.6863,0.4358,1
fsl,6457-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.8778,0.9487,0.8130,0
fsl,828-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5039,0.8019,0.3399,0
fsl,245-Signal,implied,filled,1,missing,missing,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4437,0.7083,0.3651,1
fsl,316-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.7118,0.9419,0.6611,1
fsl,695-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.3857,0.6353,0.2457,1
fsl,1761-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6877,0.8041,0.6545,1
fsl,4245-Signal,implied,filled,1,implied,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.3927,0.6729,0.2560,1
fsl,5775-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.7055,0.8384,0.6032,1
fsl,1504-Signal,implied,filled,1,missing,missing,1,implied,filled,1,implied,filled,1,missing,filled,0,1,0,0,3,0.4374,0.8287,0.3466,1
fsl,8-Mastodon,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.8559,0.9175,0.7778,1
fsl,592-Signal,implied,missing,0,missing,missing,1,implied,missing,0,implied,missing,0,missing,filled,0,1,1,1,3,0.2615,0.5397,0.0370,0
fsl,6031-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.7394,0.9646,0.6129,1
fsl,496-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,missing,filled,0,1,0,0,3,0.1742,0.5225,0.1333,1
fsl,4230-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6174,0.6692,0.4344,1
fsl,757-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.8278,0.8864,0.6010,1
fsl,1283-Signal,implied,filled,1,missing,missing,1,implied,filled,1,implied,filled,1,implied,filled,1,0,0,1,3,0.7358,0.7619,0.5000,1
fsl,7310-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.7830,0.9160,0.7342,0
