strategy,reqId,gold_scope,llm_scope,match_scope,gold_condition,llm_condition,match_condition,gold_actor,llm_actor,match_actor,gold_modalVerb,llm_modalVerb,match_modalVerb,gold_action,llm_action,match_action,gold_overall_incomplete,llm_overall_incomplete,verdict_match,n_humans,seq_ratio_mean,seq_ratio_max,jaccard_mean,paska_passed
cot,4031-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6470,0.7143,0.3818,1
cot,4333-Signal,missing,missing,1,missing,missing,1,missing,filled,0,missing,missing,1,missing,filled,0,1,1,1,2,0.4032,0.8065,0.2500,0
cot,455-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,missing,0,present,filled,1,0,1,0,3,0.5705,0.6543,0.3203,0
cot,5529-Signal,implied,missing,0,present,missing,0,implied,filled,1,implied,missing,0,present,filled,1,0,1,0,3,0.5069,0.5783,0.1959,0
cot,107-Mastodon,implied,missing,0,missing,missing,1,implied,filled,1,implied,missing,0,present,filled,1,0,1,0,3,0.4921,0.5254,0.1318,0
cot,83-Signal,implied,missing,0,missing,missing,1,missing,missing,1,missing,missing,1,missing,filled,0,1,1,1,3,0.1284,0.3853,0.0833,0
cot,5555-Signal,implied,missing,0,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4352,0.4885,0.2970,1
cot,801-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.3785,0.4766,0.2865,1
cot,6069-Signal,implied,missing,0,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5454,0.6421,0.3205,1
cot,2943-Signal,implied,missing,0,missing,missing,1,implied,missing,0,implied,missing,0,implied,missing,0,0,1,0,3,0.1462,0.2353,0.0000,0
cot,6077-Signal,implied,missing,0,present,missing,0,present,filled,1,implied,missing,0,present,filled,1,0,1,0,3,0.4103,0.4958,0.1679,0
cot,1363-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,missing,0,present,filled,1,0,1,0,3,0.7521,0.8921,0.5397,0
cot,6459-Signal,implied,filled,1,present,filled,1,present,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6421,0.8232,0.4841,1
cot,6457-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,missing,0,present,filled,1,0,1,0,3,0.7495,0.8341,0.5263,0
cot,828-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4076,0.6447,0.1132,1
cot,245-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,missing,0,present,filled,1,0,1,0,3,0.2753,0.4396,0.1246,0
cot,316-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5457,0.6842,0.4373,1
cot,695-Signal,implied,missing,0,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.3263,0.5455,0.1618,1
cot,1761-Signal,implied,missing,0,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6605,0.8029,0.4570,1
cot,4245-Signal,implied,missing,0,implied,missing,0,implied,filled,1,implied,missing,0,present,filled,1,0,1,0,3,0.3908,0.6630,0.2281,0
cot,5775-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,missing,0,present,filled,1,0,1,0,3,0.5316,0.5961,0.3190,0
cot,1504-Signal,implied,missing,0,missing,missing,1,implied,missing,0,implied,missing,0,missing,missing,1,1,1,1,3,0.0222,0.0667,0.3333,0
cot,8-Mastodon,implied,missing,0,missing,missing,1,implied,filled,1,implied,missing,0,present,filled,1,0,1,0,3,0.7369,0.7755,0.4167,0
cot,592-Signal,implied,missing,0,missing,missing,1,implied,missing,0,implied,missing,0,missing,filled,0,1,1,1,3,0.2464,0.4127,0.0000,0
cot,6031-Signal,implied,missing,0,missing,filled,0,implied,filled,1,implied,missing,0,present,filled,1,0,1,0,3,0.5693,0.7814,0.3800,0
cot,496-Signal,implied,missing,0,missing,missing,1,implied,missing,0,implied,missing,0,missing,filled,0,1,1,1,3,0.1238,0.3714,0.0303,0
cot,4230-Signal,implied,missing,0,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4021,0.5483,0.2196,1
cot,757-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.7192,0.7686,0.5087,1
cot,1283-Signal,implied,missing,0,missing,missing,1,implied,missing,0,implied,missing,0,implied,filled,1,0,1,0,3,0.5019,0.6269,0.2097,0
cot,7310-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,missing,0,present,filled,1,0,1,0,3,0.5362,0.5850,0.3343,0
