strategy,reqId,gold_scope,llm_scope,match_scope,gold_condition,llm_condition,match_condition,gold_actor,llm_actor,match_actor,gold_modalVerb,llm_modalVerb,match_modalVerb,gold_action,llm_action,match_action,gold_overall_incomplete,llm_overall_incomplete,verdict_match,n_humans,seq_ratio_mean,seq_ratio_max,jaccard_mean,paska_passed
fsl,4031-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.8698,1.0000,0.7292,1
fsl,4333-Signal,missing,filled,0,missing,filled,0,missing,filled,0,missing,filled,0,missing,filled,0,1,0,0,2,0.4309,0.8619,0.3667,1
fsl,455-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.7487,0.8353,0.6004,1
fsl,5529-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6421,0.6630,0.4673,1
fsl,107-Mastodon,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.7547,0.7784,0.5090,1
fsl,83-Signal,implied,filled,1,missing,filled,0,missing,filled,0,missing,filled,0,missing,filled,0,1,0,0,3,0.2239,0.6718,0.1429,1
fsl,5555-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.8716,0.9036,0.7647,1
fsl,801-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6972,0.9161,0.5832,1
fsl,6069-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6537,0.7224,0.4700,1
fsl,2943-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,implied,filled,1,0,0,1,3,0.8087,0.9206,0.7160,1
fsl,6077-Signal,implied,filled,1,present,filled,1,present,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6930,0.7823,0.4868,1
fsl,1363-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.8626,0.9611,0.8238,1
fsl,6459-Signal,implied,filled,1,present,filled,1,present,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6988,0.8360,0.5976,1
fsl,6457-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.7708,0.8075,0.7546,0
fsl,828-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4254,0.6474,0.3246,1
fsl,245-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4331,0.7455,0.3400,1
fsl,316-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.7103,0.9091,0.5798,0
fsl,695-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4377,0.6580,0.3342,1
fsl,1761-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6543,0.7783,0.7162,1
fsl,4245-Signal,implied,filled,1,implied,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4614,0.7434,0.3623,0
fsl,5775-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6801,0.7979,0.4488,1
fsl,1504-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,filled,1,missing,filled,0,1,0,0,3,0.3455,0.7356,0.1714,1
fsl,8-Mastodon,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.9018,0.9740,0.7778,1
fsl,592-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,missing,filled,0,1,0,0,3,0.5625,0.8706,0.4500,0
fsl,6031-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.7451,0.8241,0.6389,0
fsl,496-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,missing,filled,0,1,0,0,3,0.1758,0.5273,0.1333,1
fsl,4230-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6239,0.6479,0.4764,1
fsl,757-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.8488,0.8594,0.6386,1
fsl,1283-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,implied,filled,1,0,0,1,3,0.6731,0.7500,0.4252,1
fsl,7310-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6033,0.6368,0.4785,0
