strategy,reqId,gold_scope,llm_scope,match_scope,gold_condition,llm_condition,match_condition,gold_actor,llm_actor,match_actor,gold_modalVerb,llm_modalVerb,match_modalVerb,gold_action,llm_action,match_action,gold_overall_incomplete,llm_overall_incomplete,verdict_match,n_humans,seq_ratio_mean,seq_ratio_max,jaccard_mean,paska_passed
zsl,4031-Signal,implied,missing,0,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.7236,0.8387,0.4213,1
zsl,4333-Signal,missing,filled,0,missing,filled,0,missing,filled,0,missing,filled,0,missing,filled,0,1,0,0,2,0.2287,0.4574,0.1591,1
zsl,455-Signal,implied,missing,0,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4865,0.5548,0.2717,1
zsl,5529-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5558,0.5979,0.3131,1
zsl,107-Mastodon,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.3220,0.4481,0.2367,1
zsl,83-Signal,implied,missing,0,missing,filled,0,missing,missing,1,missing,missing,1,missing,filled,0,1,1,1,3,0.1620,0.4861,0.1111,0
zsl,5555-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4506,0.5246,0.2913,1
zsl,801-Signal,implied,missing,0,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4400,0.4739,0.2417,1
zsl,6069-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5551,0.6149,0.3354,1
zsl,2943-Signal,implied,filled,1,missing,missing,1,implied,missing,0,implied,missing,0,implied,filled,1,0,1,0,3,0.5792,0.7222,0.2558,0
zsl,6077-Signal,implied,filled,1,present,filled,1,present,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.0000,0.0000,0.0000,0
zsl,1363-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6852,0.7607,0.5143,1
zsl,6459-Signal,implied,filled,1,present,filled,1,present,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5306,0.7460,0.4152,1
zsl,6457-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4761,0.5016,0.3091,0
zsl,828-Signal,implied,filled,1,missing,filled,0,implied,missing,0,implied,filled,1,present,filled,1,0,1,0,3,0.3646,0.5654,0.2316,1
zsl,245-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.3283,0.5882,0.2333,1
zsl,316-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5952,0.7386,0.4375,1
zsl,695-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.2303,0.4180,0.2487,0
zsl,1761-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6194,0.7258,0.4486,1
zsl,4245-Signal,implied,filled,1,implied,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.3691,0.5984,0.2265,1
zsl,5775-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.3750,0.4199,0.3073,1
zsl,1504-Signal,implied,missing,0,missing,filled,0,implied,missing,0,implied,missing,0,missing,filled,0,1,1,1,3,0.3155,0.6988,0.1390,0
zsl,8-Mastodon,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6148,0.6429,0.3044,1
zsl,592-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,missing,filled,0,1,0,0,3,0.2150,0.3784,0.0611,0
zsl,6031-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5922,0.7170,0.3625,1
zsl,496-Signal,implied,missing,0,missing,filled,0,implied,filled,1,implied,filled,1,missing,filled,0,1,0,0,3,0.0924,0.2772,0.0417,1
zsl,4230-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5489,0.5806,0.2792,1
zsl,757-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.3811,0.5753,0.3476,1
zsl,1283-Signal,implied,missing,0,missing,filled,0,implied,filled,1,implied,filled,1,implied,filled,1,0,0,1,3,0.3026,0.3254,0.1355,1
zsl,7310-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.3984,0.4563,0.2803,0
