strategy,reqId,gold_scope,llm_scope,match_scope,gold_condition,llm_condition,match_condition,gold_actor,llm_actor,match_actor,gold_modalVerb,llm_modalVerb,match_modalVerb,gold_action,llm_action,match_action,gold_overall_incomplete,llm_overall_incomplete,verdict_match,n_humans,seq_ratio_mean,seq_ratio_max,jaccard_mean,paska_passed
cot,72-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.6201,0.7310,0.4651,1
cot,36-Mastodon,implied,filled,1,missing,filled,0,present,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.5578,0.6864,0.3468,1
cot,152-Mastodon,implied,filled,1,missing,filled,0,present,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.4238,0.5116,0.2234,1
cot,5874-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.4667,0.5799,0.2704,1
cot,751-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.4309,0.6084,0.2775,1
cot,3192-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.5045,0.6020,0.2405,1
cot,778-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.3223,0.4833,0.2314,1
cot,1699-Signal,implied,filled,1,missing,filled,0,present,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.5180,0.6795,0.2281,0
cot,2159-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.5969,0.7304,0.3658,0
cot,4049-Signal,implied,filled,1,present,filled,1,implied,missing,0,implied,missing,0,present,filled,1,0,1,0,4,0.5778,0.7705,0.4394,0
