strategy,reqId,gold_scope,llm_scope,match_scope,gold_condition,llm_condition,match_condition,gold_actor,llm_actor,match_actor,gold_modalVerb,llm_modalVerb,match_modalVerb,gold_action,llm_action,match_action,gold_overall_incomplete,llm_overall_incomplete,verdict_match,n_humans,seq_ratio_mean,seq_ratio_max,jaccard_mean,paska_passed
cot,4031-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.6581,0.7712,0.3653,1
cot,4333-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,2,0.3564,0.7128,0.2059,1
cot,455-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.5002,0.5714,0.2669,1
cot,5529-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.4476,0.5366,0.2052,1
cot,107-Mastodon,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.4847,0.5210,0.1397,1
cot,83-Signal,,filled,1,,filled,1,,missing,0,,missing,0,,missing,0,0,1,0,3,0.0089,0.0267,0.6667,0
cot,5555-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.6489,0.6719,0.4127,1
cot,801-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.5180,0.6575,0.2898,1
cot,6069-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.5238,0.5616,0.2978,1
cot,2943-Signal,,filled,1,,filled,1,,missing,0,,missing,0,,missing,0,0,1,0,3,0.0326,0.0667,0.0000,0
cot,6077-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.4146,0.5083,0.3102,1
cot,1363-Signal,,filled,1,,filled,1,,missing,0,,missing,0,,filled,1,0,1,0,3,0.6858,0.7500,0.5087,0
cot,6459-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.4267,0.4862,0.2678,1
cot,6457-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.6828,0.8182,0.4579,0
cot,828-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.3295,0.5270,0.1618,1
cot,245-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.2530,0.4316,0.1967,1
cot,316-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.4218,0.4862,0.3288,0
cot,695-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.3490,0.6178,0.2473,1
cot,1761-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.5389,0.5506,0.4234,1
cot,4245-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.2826,0.4663,0.2603,1
cot,5775-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.5714,0.7065,0.3578,1
cot,1504-Signal,,missing,0,,missing,0,,missing,0,,missing,0,,missing,0,0,1,0,3,0.0222,0.0667,0.3333,0
cot,8-Mastodon,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.6941,0.7347,0.3922,1
cot,592-Signal,,filled,1,,filled,1,,missing,0,,missing,0,,filled,1,0,1,0,3,0.2217,0.3860,0.0000,0
cot,6031-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.5633,0.7440,0.3625,1
cot,496-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.1133,0.3400,0.0208,1
cot,4230-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.5508,0.6194,0.2799,1
cot,757-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.7403,0.7899,0.4833,1
cot,1283-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.5558,0.7015,0.3444,0
cot,7310-Signal,,filled,1,,filled,1,,filled,1,,filled,1,,filled,1,0,0,1,3,0.5198,0.6034,0.2711,0
