reqId,requirementId,phase,order,pragyanIncomp,nlDescription,nlText,gold_scope,gold_condition,gold_actor,gold_modalVerb,gold_action,gold_conditionType,gold_overallIncomplete,gold_hadDisagreement,annotatorId,annotatorUsername,annotatorDisplayName,annotationStatus,rimayText,slot_scope,slot_condition,slot_actor,slot_modalVerb,slot_action,conditionType,patternNumber,nonAtomic,nSystemResponses,overallIncomplete,notes,unit,nUnits
1055-Signal,6a3ac954be1bfa9e45d3312a,main,12,0,"the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""","Request Number - 1055 | Request Title - drafts should be marked and moved to top of list  | Request Description - the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""",missing,missing,implied,implied,present,,false,false,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, the App must automatically move the ""message drafts"" to the top of the ""message list"".",missing,missing,implied,implied,present,none,,true,,false,User wants the message drafts to be moved to the top and besides that be marked visually.,1,2
1055-Signal,6a3ac954be1bfa9e45d3312a,main,12,0,"the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""","Request Number - 1055 | Request Title - drafts should be marked and moved to top of list  | Request Description - the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""",missing,missing,implied,implied,present,,false,false,6a29b95073ef37cc79137842,Mko,Mko,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, the App must automatically move the ""message drafts"" to the top of the ""message list"".",missing,missing,implied,implied,present,none,,true,,false,,1,2
1055-Signal,6a3ac954be1bfa9e45d3312a,main,12,0,"the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""","Request Number - 1055 | Request Title - drafts should be marked and moved to top of list  | Request Description - the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""",missing,missing,implied,implied,present,,false,false,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, the App must automatically move the ""message drafts"" to the top of the ""message list"".",missing,missing,implied,implied,present,none,,false,,false,Non atomic,1,2
1055-Signal,6a3ac954be1bfa9e45d3312a,main,12,0,"the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""","Request Number - 1055 | Request Title - drafts should be marked and moved to top of list  | Request Description - the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""",missing,missing,implied,implied,present,,false,false,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, the App must visually mark the ""message drafts"", such as with a different color or a ""Draft"" label.",missing,missing,implied,implied,present,none,,true,,false,User wants the message drafts to be moved to the top and besides that be marked visually.,2,2
1055-Signal,6a3ac954be1bfa9e45d3312a,main,12,0,"the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""","Request Number - 1055 | Request Title - drafts should be marked and moved to top of list  | Request Description - the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""",missing,missing,implied,implied,present,,false,false,6a29b95073ef37cc79137842,Mko,Mko,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, the App must visually mark the ""message drafts"", such as with a different color or a ""Draft"" label.",missing,missing,implied,implied,present,none,,true,,false,,2,2
1055-Signal,6a3ac954be1bfa9e45d3312a,main,12,0,"the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""","Request Number - 1055 | Request Title - drafts should be marked and moved to top of list  | Request Description - the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""",missing,missing,implied,implied,present,,false,false,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, the App must visually mark the ""message drafts"", such as with a different color or a ""Draft"" label.",missing,missing,implied,implied,present,none,,false,,false,Non atomic,2,2
1692-Signal,6a3ac954be1bfa9e45d33148,main,22,0,"when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))","Request Number - 1692 | Request Title - sms delivery report: show received time in message details | Request Description - when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))",missing,present,implied,implied,present,,false,false,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"<MISSING_SCOPE>, when an SMS delivery report is received, then the App must save the time the message was actually received.",missing,present,implied,implied,present,trigger,,false,,false,,1,2
1692-Signal,6a3ac954be1bfa9e45d33148,main,22,0,"when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))","Request Number - 1692 | Request Title - sms delivery report: show received time in message details | Request Description - when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))",missing,present,implied,implied,present,,false,false,6a29b95073ef37cc79137842,Mko,Mko,submitted,"<MISSING_SCOPE>, when the App receives an ""SMS delivery report"", then the App must save the time at which the recipient received the message.",missing,present,implied,implied,present,trigger,,true,,false,,1,2
1692-Signal,6a3ac954be1bfa9e45d33148,main,22,0,"when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))","Request Number - 1692 | Request Title - sms delivery report: show received time in message details | Request Description - when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))",missing,present,implied,implied,present,,false,false,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"<MISSING_SCOPE>, when the App receives an ""SMS delivery report"", then the App must save the time at which the recipient received the message.",missing,present,implied,implied,present,trigger,,false,,false,"Non atomic, because it has two requests ""should be saved and it should be possible to view it in message details.""",1,2
1692-Signal,6a3ac954be1bfa9e45d33148,main,22,0,"when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))","Request Number - 1692 | Request Title - sms delivery report: show received time in message details | Request Description - when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))",missing,missing,implied,implied,present,,false,true,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"<MISSING_SCOPE>, when an SMS delivery report is received, then the App must show that time in the message details.",missing,present,implied,implied,present,trigger,,false,,false,,2,2
