reqId,requirementId,phase,order,pragyanIncomp,nlDescription,nlText,gold_scope,gold_condition,gold_actor,gold_modalVerb,gold_action,gold_conditionType,gold_overallIncomplete,gold_hadDisagreement,annotatorId,annotatorUsername,annotatorDisplayName,annotationStatus,rimayText,slot_scope,slot_condition,slot_actor,slot_modalVerb,slot_action,conditionType,patternNumber,nonAtomic,nSystemResponses,overallIncomplete,notes
4031-Signal,6a3ac953be1bfa9e45d33118,main,6,1,Add option to cancel running media downloads Once we go large media this is really needed,Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed,missing,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, the App must allow the user to cancel ""running media downloads"".",missing,missing,implied,implied,present,none,,false,,false,
4031-Signal,6a3ac953be1bfa9e45d33118,main,6,1,Add option to cancel running media downloads Once we go large media this is really needed,Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed,missing,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137842,Mko,Mko,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, the App must let the user cancel a running ""media download"".",missing,missing,implied,implied,present,none,,false,,false,
4031-Signal,6a3ac953be1bfa9e45d33118,main,6,1,Add option to cancel running media downloads Once we go large media this is really needed,Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed,missing,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, the App must provide an option to cancel running media downloads.",missing,missing,implied,implied,present,none,,false,,false,
4333-Signal,6a3ac953be1bfa9e45d3311b,main,7,1,https://developer.android.com/reference/android/service/chooser/ChooserTargetService.html,Request Number - 4333 | Request Title - allow direct sharing to contacts via 6.0 ChooserTargetService | Request Description - https://developer.android.com/reference/android/service/chooser/ChooserTargetService.html,missing,missing,missing,missing,missing,none,true,true,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, <MISSING_ACTOR> <MISSING_MODAL_VERB> <MISSING_ACTION>.",missing,missing,missing,missing,missing,none,,false,,true,
4333-Signal,6a3ac953be1bfa9e45d3311b,main,7,1,https://developer.android.com/reference/android/service/chooser/ChooserTargetService.html,Request Number - 4333 | Request Title - allow direct sharing to contacts via 6.0 ChooserTargetService | Request Description - https://developer.android.com/reference/android/service/chooser/ChooserTargetService.html,missing,missing,missing,missing,missing,none,true,true,6a29b95073ef37cc79137842,Mko,Mko,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, the App must allow direct sharing to contacts through the ChooserTargetService.",missing,missing,implied,implied,present,none,,false,,false,
4333-Signal,6a3ac953be1bfa9e45d3311b,main,7,1,https://developer.android.com/reference/android/service/chooser/ChooserTargetService.html,Request Number - 4333 | Request Title - allow direct sharing to contacts via 6.0 ChooserTargetService | Request Description - https://developer.android.com/reference/android/service/chooser/ChooserTargetService.html,missing,missing,missing,missing,missing,none,true,true,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, <MISSING_ACTOR> <MISSING_MODAL_VERB> <MISSING_ACTION>.",missing,missing,missing,missing,missing,none,,false,,true,
455-Signal,6a3ac954be1bfa9e45d33127,main,11,1,"Hi, in oder to advertise TextSecure to my friends I'd like to add a (short) signature. E.g.  I use TextSecure for private and secure communication!  do you find this worth implementing?","Request Number - 455 | Request Title - Signature below SMS message | Request Description - Hi, in oder to advertise TextSecure to my friends I'd like to add a (short) signature. E.g.  I use TextSecure for private and secure communication!  do you find this worth implementing?",missing,missing,implied,implied,present,none,false,true,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, the App must allow the user to add a ""signature"" to ""SMS messages"".",missing,missing,implied,implied,present,none,,false,,false,
455-Signal,6a3ac954be1bfa9e45d33127,main,11,1,"Hi, in oder to advertise TextSecure to my friends I'd like to add a (short) signature. E.g.  I use TextSecure for private and secure communication!  do you find this worth implementing?","Request Number - 455 | Request Title - Signature below SMS message | Request Description - Hi, in oder to advertise TextSecure to my friends I'd like to add a (short) signature. E.g.  I use TextSecure for private and secure communication!  do you find this worth implementing?",missing,missing,implied,implied,present,none,false,true,6a29b95073ef37cc79137842,Mko,Mko,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, the App must let the user add a short signature to messages.",missing,missing,implied,implied,present,none,,false,,false,
455-Signal,6a3ac954be1bfa9e45d33127,main,11,1,"Hi, in oder to advertise TextSecure to my friends I'd like to add a (short) signature. E.g.  I use TextSecure for private and secure communication!  do you find this worth implementing?","Request Number - 455 | Request Title - Signature below SMS message | Request Description - Hi, in oder to advertise TextSecure to my friends I'd like to add a (short) signature. E.g.  I use TextSecure for private and secure communication!  do you find this worth implementing?",missing,missing,implied,implied,present,none,false,true,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, TextSecure must provide an option to add a short signature to messages.",missing,missing,present,implied,present,none,,false,,false,
5529-Signal,6a3ac954be1bfa9e45d33136,main,16,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature description. It's quite common to see non-passphrase users wonder why screenshots in Signal don't work. It probably doesn't make sense to have Screen security enabled by default for them. For passphrase users it makes sense. One option would be to remove the feature completely from settings and make it an implicit feature which depends on the passphrase setting. In #1431 (comment) moxie0 wrote: [The Screen security feature i]s not designed to prevent screenshots, it's designed to notify the task manager that it shouldn't cache screenshots of conversations. The side effect is that it prevents screenshots.","Request Number - 5529 | Request Title - Disable ""Screen security"" by default | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature description. It's quite common to see non-passphrase users wonder why screenshots in Signal don't work. It probably doesn't make sense to have Screen security enabled by default for them. For passphrase users it makes sense. One option would be to remove the feature completely from settings and make it an implicit feature which depends on the passphrase setting. In #1431 (comment) moxie0 wrote: [The Screen security feature i]s not designed to prevent screenshots, it's designed to notify the task manager that it shouldn't cache screenshots of conversations. The side effect is that it prevents screenshots.",missing,present,implied,implied,present,none,false,true,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"<MISSING_SCOPE>, <MISSING_CONDITION>, the App must make the ""Screen security"" feature depend on the ""passphrase setting"".",missing,missing,implied,implied,present,none,,false,,false,
