strategy,reqId,gold_scope,llm_scope,match_scope,gold_condition,llm_condition,match_condition,gold_actor,llm_actor,match_actor,gold_modalVerb,llm_modalVerb,match_modalVerb,gold_action,llm_action,match_action,gold_overall_incomplete,llm_overall_incomplete,verdict_match,n_humans,seq_ratio_mean,seq_ratio_max,jaccard_mean,paska_passed
fsl,72-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.8523,0.8914,0.7390,1
fsl,36-Mastodon,implied,filled,1,missing,filled,0,present,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.6312,0.7326,0.4830,1
fsl,152-Mastodon,implied,filled,1,missing,filled,0,present,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.5897,0.6280,0.4156,1
fsl,5874-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.7456,0.8961,0.5323,1
fsl,751-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.6184,0.7940,0.5379,1
fsl,3192-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.5163,0.6566,0.4983,0
fsl,778-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.4289,0.6130,0.3488,1
fsl,1699-Signal,implied,filled,1,missing,filled,0,present,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.4864,0.5683,0.2819,1
fsl,2159-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.5612,0.6404,0.4919,1
fsl,4049-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,4,0.5721,0.6332,0.4891,1
