strategy,reqId,gold_scope,llm_scope,match_scope,gold_condition,llm_condition,match_condition,gold_actor,llm_actor,match_actor,gold_modalVerb,llm_modalVerb,match_modalVerb,gold_action,llm_action,match_action,gold_overall_incomplete,llm_overall_incomplete,verdict_match,n_humans,seq_ratio_mean,seq_ratio_max,jaccard_mean,paska_passed
zsl,4031-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6675,0.7308,0.3545,1
zsl,4333-Signal,missing,missing,1,missing,missing,1,missing,filled,0,missing,filled,0,missing,filled,0,1,0,0,2,0.3913,0.7826,0.2353,1
zsl,455-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5632,0.6353,0.3031,1
zsl,5529-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5940,0.6321,0.3749,1
zsl,107-Mastodon,implied,missing,0,missing,missing,1,implied,missing,0,implied,missing,0,present,filled,1,0,1,0,3,0.4314,0.4480,0.1462,0
zsl,83-Signal,implied,missing,0,missing,missing,1,missing,missing,1,missing,missing,1,missing,filled,0,1,1,1,3,0.1284,0.3853,0.0833,0
zsl,5555-Signal,implied,missing,0,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4160,0.4398,0.3306,1
zsl,801-Signal,implied,missing,0,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.3158,0.3824,0.2506,0
zsl,6069-Signal,implied,filled,1,present,missing,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5396,0.6239,0.3874,0
zsl,2943-Signal,implied,missing,0,missing,missing,1,implied,missing,0,implied,missing,0,implied,missing,0,0,1,0,3,0.1462,0.2353,0.0000,0
zsl,6077-Signal,implied,filled,1,present,filled,1,present,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.3797,0.4971,0.2882,1
zsl,1363-Signal,implied,missing,0,missing,missing,1,implied,missing,0,implied,missing,0,present,filled,1,0,1,0,3,0.7338,0.8764,0.5677,0
zsl,6459-Signal,implied,filled,1,present,filled,1,present,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6324,0.7853,0.4306,1
zsl,6457-Signal,implied,filled,1,missing,missing,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6887,0.7339,0.5780,0
zsl,828-Signal,implied,filled,1,missing,missing,1,implied,missing,0,implied,missing,0,present,filled,1,0,1,0,3,0.3753,0.7009,0.2429,0
zsl,245-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,missing,0,present,filled,1,0,1,0,3,0.2557,0.4217,0.1129,0
zsl,316-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5520,0.7137,0.4336,1
zsl,695-Signal,implied,filled,1,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.2535,0.5057,0.2479,0
zsl,1761-Signal,implied,missing,0,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6409,0.7847,0.4570,1
zsl,4245-Signal,implied,missing,0,implied,missing,0,implied,filled,1,implied,missing,0,present,filled,1,0,1,0,3,0.3833,0.6592,0.2281,0
zsl,5775-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5656,0.6393,0.3466,1
zsl,1504-Signal,implied,missing,0,missing,missing,1,implied,missing,0,implied,missing,0,missing,missing,1,1,1,1,3,0.0222,0.0667,0.3333,0
zsl,8-Mastodon,implied,missing,0,missing,missing,1,implied,missing,0,implied,missing,0,present,filled,1,0,1,0,3,0.6953,0.7353,0.4444,0
zsl,592-Signal,implied,missing,0,missing,missing,1,implied,missing,0,implied,missing,0,missing,filled,0,1,1,1,3,0.2706,0.4444,0.0750,0
zsl,6031-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.5487,0.7442,0.3103,1
zsl,496-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,missing,0,missing,filled,0,1,1,1,3,0.1096,0.3288,0.0278,0
zsl,4230-Signal,implied,missing,0,present,filled,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.4363,0.5759,0.2418,1
zsl,757-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6987,0.7722,0.4421,1
zsl,1283-Signal,implied,missing,0,missing,missing,1,implied,filled,1,implied,filled,1,implied,filled,1,0,0,1,3,0.3964,0.4795,0.1000,1
zsl,7310-Signal,implied,filled,1,missing,filled,0,implied,filled,1,implied,filled,1,present,filled,1,0,0,1,3,0.6198,0.6667,0.5073,0
